x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,event,p
6.3,-0.0,-0.5,-7.9,-7.9,8.5,6.2,11.1,5.5,7.5,1.0,0.9721429509034027
0.8,9.0,-0.4,-8.6,-8.6,7.0,3.7,4.1,1.9,8.0,1.0,0.9692421505105758
-0.1,4.8,-0.0,0.2,0.2,2.2,7.0,1.2,0.1,10.6,1.0,0.9447713975115788
-0.1,0.7,-0.0,4.3,4.3,1.1,3.7,4.1,0.1,4.9,1.0,0.9111147277974596
0.0,0.0,-0.2,2.8,2.8,4.8,5.2,5.2,0.3,2.5,1.0,0.9333459218666074
-0.3,-0.0,0.0,-6.0,-6.0,-5.0,7.1,1.8,0.2,1.0,1.0,0.947352165912238
1.4,-0.5,-3.0,-7.8,-7.8,3.4,2.6,3.9,1.5,22.8,1.0,0.9613493432690109
0.1,-0.1,-0.0,-3.5,-3.5,2.5,19.5,3.2,0.6,1.5,1.0,0.9718236344143129
-0.0,0.4,-0.1,-0.5,-0.5,3.8,4.0,2.8,0.2,2.5,1.0,0.9440378886663224
0.1,0.0,-0.1,-0.6,-0.6,6.1,7.6,3.9,0.4,1.1,1.0,0.9551291074727232
1.9,0.0,-1.6,-3.2,-3.2,9.2,1.8,11.8,1.1,1.9,1.0,0.9501119505528152
3.2,-2.1,-1.5,-6.0,-6.0,7.4,5.7,6.2,2.1,2.3,1.0,0.9668653453631788
3.6,1.6,-6.7,-9.6,-9.6,1.7,1.5,3.7,2.8,0.2,1.0,0.9530569778595972
15.9,0.1,-1.2,-7.5,-7.5,13.1,3.8,13.9,8.2,4.1,1.0,0.9749414878520014
0.4,31.8,-0.9,-3.6,-3.6,8.7,1.3,4.3,0.4,1.4,1.0,0.9449900114958338
0.1,-3.0,-0.2,1.3,1.3,6.4,3.1,6.9,0.3,7.9,1.0,0.9397380860791223
-0.2,-0.3,0.0,4.5,4.5,2.5,9.5,2.4,0.1,0.4,1.0,0.9331701604891346
6.9,2.8,-6.5,-9.1,-9.1,7.5,1.5,6.4,4.2,0.7,1.0,0.962428328272119
5.0,-7.1,-22.7,-10.9,-10.9,1.9,0.8,2.0,3.4,16.1,1.0,0.9357623917521376
9.4,9.6,-7.3,-3.9,-3.9,11.6,1.3,14.4,2.4,1.5,1.0,0.9429208553315164
0.0,4.1,-1.1,-5.2,-5.2,7.1,1.2,1.8,0.3,2.5,1.0,0.9594341525241318
-0.1,0.1,1.3,4.9,4.9,5.7,30.2,5.8,0.2,0.7,1.0,0.9709100772296309
0.0,-0.1,0.0,1.5,1.5,4.6,12.8,7.9,0.5,2.8,1.0,0.9500322764626312
-0.0,0.1,-0.0,-4.4,-4.4,-1.3,3.0,3.9,0.3,1.2,1.0,0.9409244368006788
0.9,1.9,-0.0,5.5,5.5,11.0,6.9,12.7,0.5,4.2,1.0,0.9342898778294
5.2,0.6,-3.7,-6.7,-6.7,9.1,1.6,10.5,2.6,0.3,1.0,0.9591202934454676
0.2,-7.5,-0.8,-4.8,-4.8,4.5,1.7,4.3,0.5,0.5,1.0,0.9556376112673668
-0.1,0.3,0.2,6.0,6.0,-1.8,8.7,7.1,0.1,7.9,1.0,0.9000610287958141
0.4,0.8,-0.3,-4.8,-4.8,5.6,4.7,5.3,0.8,3.8,1.0,0.9598892972407206
24.5,9.4,-14.2,-10.1,-10.1,10.4,0.8,13.8,14.8,4.8,1.0,0.9595352628241544
0.0,-1.5,-0.0,-5.5,-5.5,2.1,6.7,2.7,0.5,1.9,0.0,0.9609131151909459
0.0,-2.3,-0.0,-2.4,-2.4,1.3,4.6,5.9,0.4,1.6,1.0,0.9426008866477524
0.8,1.0,-7.1,-7.7,-7.7,5.2,0.8,2.4,0.7,0.5,1.0,0.9532016804108926
1.6,-0.2,-6.8,-6.7,-6.7,8.3,0.8,3.9,0.8,0.6,0.0,0.9567128316357572
0.0,2.0,-2.0,-7.2,-7.2,-2.0,0.8,2.6,0.3,10.0,1.0,0.9432810401499732
1.1,0.2,-1.8,-2.1,-2.1,4.7,3.6,5.7,0.7,1.2,1.0,0.9448162738514926
2.5,-0.2,-1.1,-3.3,-3.3,8.2,3.3,8.5,1.2,0.6,1.0,0.9552953997830328
6.0,3.8,-6.1,-7.6,-7.6,4.6,2.8,6.0,3.0,3.0,1.0,0.9546248871860868
1.1,0.3,-0.9,0.3,0.3,9.4,2.9,7.2,0.6,2.7,1.0,0.94736492927673
0.0,-0.3,-0.0,-2.5,-2.5,2.9,6.3,7.9,0.6,0.3,1.0,0.9468948327137724
0.0,-0.0,0.0,-1.3,-1.3,-0.7,11.6,14.2,0.8,2.3,1.0,0.9348799349166969
0.9,-1.2,-5.2,3.0,3.0,8.6,1.0,5.1,0.2,0.7,1.0,0.9233712457531814
1.3,-0.5,0.0,-2.3,-2.3,12.3,8.0,7.8,1.1,1.5,1.0,0.9687085668605586
0.0,-0.0,-0.0,-0.8,-0.8,0.1,9.6,12.0,0.7,0.6,1.0,0.9336520194858858
0.4,-10.3,-1.0,-7.1,-7.1,3.6,3.2,3.2,0.9,0.5,1.0,0.9639503620522294
-1.0,1.1,0.0,5.1,5.1,-5.2,8.3,2.5,0.1,2.2,1.0,0.8951880925621708
0.1,0.2,-0.5,-7.2,-7.2,2.8,2.6,3.7,0.8,4.3,1.0,0.9590574801750504
1.4,0.0,-1.7,-2.9,-2.9,4.2,3.4,14.0,1.3,4.8,1.0,0.9359535538672352
1.3,2.3,-1.7,-8.3,-8.3,8.6,3.3,2.5,1.6,2.5,1.0,0.9714760169985576
2.4,-0.4,-5.3,-6.0,-6.0,8.4,1.3,4.5,1.1,2.7,1.0,0.9581463916637818
-1.2,0.0,-0.2,6.4,6.4,-0.6,2.6,0.9,0.0,2.7,1.0,0.8927826683491382
-0.6,-0.7,-0.0,0.5,0.5,-7.4,4.3,2.1,0.1,6.1,1.0,0.9034853321136908
0.2,0.3,-0.0,-4.8,-4.8,7.8,12.5,2.3,0.7,3.8,1.0,0.9750532628435136
-1.4,-2.3,0.8,8.1,8.1,-5.5,16.5,5.8,0.0,11.1,1.0,0.9034765490357018
0.2,0.0,-3.8,-6.4,-6.4,-0.1,1.4,3.0,0.5,2.4,1.0,0.9423949143146468
1.8,-8.6,-2.7,-6.0,-6.0,5.0,1.5,10.5,1.5,6.4,1.0,0.9524458665145316
-0.8,-0.0,0.0,3.3,3.3,-7.2,5.9,3.3,0.1,3.2,1.0,0.8879337028841334
3.6,0.4,-9.6,-6.8,-6.8,6.9,1.5,4.4,1.5,2.9,1.0,0.9510077993497202
5.0,-6.4,-6.8,0.6,0.6,8.8,2.4,12.4,1.2,1.4,1.0,0.9283414126570476
-0.1,1.4,0.1,1.6,1.6,-1.8,7.8,5.8,0.2,3.8,1.0,0.9218711539584792
0.4,0.0,-1.2,-6.1,-6.1,-1.3,2.9,4.1,0.8,4.0,1.0,0.9452585156209818
0.7,-0.2,-0.4,1.0,1.0,3.2,6.3,13.9,0.9,2.1,1.0,0.9247820394684836
